trial_id,pmid,title,journal,pub_date,url
NCT00000419,15968009,The effect of combined estrogen and progesterone hormone replacement therapy on disease activity in systemic lupus erythematosus: a randomized trial.,Annals of internal medicine,2005 Jun 21,https://pubmed.ncbi.nlm.nih.gov/15968009/
NCT00001372,35289316,Genetically programmed alternative splicing of NEMO mediates an autoinflammatory disease phenotype.,The Journal of clinical investigation,2022 Mar 15,https://pubmed.ncbi.nlm.nih.gov/35289316/
NCT00001372,35025762,Boosting NAD+ blunts TLR4-induced type I IFN in control and systemic lupus erythematosus monocytes.,The Journal of clinical investigation,2022 Mar 1,https://pubmed.ncbi.nlm.nih.gov/35025762/
NCT00001372,29669944,Neutrophil subsets and their gene signature associate with vascular inflammation and coronary atherosclerosis in lupus.,JCI insight,2018 Apr 19,https://pubmed.ncbi.nlm.nih.gov/29669944/
NCT00001372,25334031,ClinicalTrials.gov as a data source for semi-automated point-of-care trial eligibility screening.,PloS one,2014,https://pubmed.ncbi.nlm.nih.gov/25334031/
NCT00007358,18195175,Utility of cardiac monitoring in fetuses at risk for congenital heart block: the PR Interval and Dexamethasone Evaluation (PRIDE) prospective study.,Circulation,2008 Jan 29,https://pubmed.ncbi.nlm.nih.gov/18195175/
NCT00010400,20131296,High-dose cyclophosphamide versus monthly intravenous cyclophosphamide for systemic lupus erythematosus: a prospective randomized trial.,Arthritis and rheumatism,2010 May,https://pubmed.ncbi.nlm.nih.gov/20131296/
