trial_id,title,status,phase,sponsor,sponsor_class,intervention_names,intervention_types,countries,regions,last_update_posted,has_results,source_url
NCT05127980,Occurrence of Antibodies Cross-reacting With Autoantigens in Primary EBV Infection,RECRUITING,N/A,"University Hospital, Basel, Switzerland",OTHER,"Data collection: Participant characteristics (Illness course, complications of primary EBV infection and provided treatments); Data collection: Patient reported outcome (Fatigue questionnaires); Data collection: blood samples (analysed for EBV serology, auto-antibody-testing/biobanking, RNA expression analyses, procalcitonin)",other,Switzerland,Europe,2025-02-25,False,https://clinicaltrials.gov/study/NCT05127980
NCT05132621,The Genital Tract Microflora in Women With Systemic Lupus Erythematosus (SLE) and Immunoglobulin A (IgA) Nephropathy.,UNKNOWN,N/A,Medical University of Warsaw,OTHER,Smear,diagnostic_test,Poland,Europe,2021-11-24,False,https://clinicaltrials.gov/study/NCT05132621
NCT05138133,Phase 3 Study of Anifrolumab in Adult Patients With Active Proliferative Lupus Nephritis,ACTIVE_NOT_RECRUITING,Phase 3,AstraZeneca,INDUSTRY,Anifrolumab; Placebo,drug,Argentina; Belgium; Brazil; Bulgaria; China; Colombia; France; Germany; Hungary; India; Italy; Japan; Malaysia; Mexico; Netherlands; Peru; Poland; Puerto Rico; Russia; Taiwan; Thailand; Turkey (Türkiye); United States; Vietnam,East Asia; Europe; Latin America; North America; Other / Global; South Asia; Southeast Asia,2026-02-24,False,https://clinicaltrials.gov/study/NCT05138133
NCT05140824,"A Study to Evaluate the Safety, Tolerability, and PK Profile of Single and Multiple Doses TJ202 in Patient With Systemic Lupus Erythematosus",TERMINATED,Phase 1,"TJ Biopharma Co., Ltd.",INDUSTRY,Placebo; TJ202 injection,biological; drug,China,East Asia,2024-04-15,False,https://clinicaltrials.gov/study/NCT05140824
NCT05141201,SAPHNELO Systemic Lupus Erythematosus Japan Post-Marketing Surveillance (PMS),ACTIVE_NOT_RECRUITING,N/A,AstraZeneca,INDUSTRY,,,Japan,East Asia,2026-03-19,False,https://clinicaltrials.gov/study/NCT05141201
NCT05146414,Clonal Hematopoiesis of Indeterminate Potential and Accelerated Atherosclerosis in Systemic Lupus Erythematosus,COMPLETED,N/A,Assistance Publique - Hôpitaux de Paris,OTHER,,,France,Europe,2021-12-06,False,https://clinicaltrials.gov/study/NCT05146414
NCT05155345,"A Study to Evaluate the Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics of Subcutaneously Administered Mosunetuzumab to Participants With Systemic Lupus Erythematosus",COMPLETED,Phase 1,Hoffmann-La Roche,INDUSTRY,Mosunetuzumab; Tocilizumab,drug,Moldova; Poland; United States,Europe; North America; Other / Global,2025-04-29,False,https://clinicaltrials.gov/study/NCT05155345
NCT05157334,The Effect of Deep Breathing and Transcutaneus Electrical Nerve Stimulation on Heart Rate Variability,UNKNOWN,N/A,Aalborg University Hospital,OTHER,Deep breathing; Non-invasive auricular electrical transcutaneous vagus nerve stimulation,device; other,Denmark,Europe,2021-12-15,False,https://clinicaltrials.gov/study/NCT05157334
NCT05162586,The WILLOW Study With M5049 in SLE and CLE (SCLE and/or DLE) (WILLOW),COMPLETED,Phase 2,"EMD Serono Research & Development Institute, Inc.",INDUSTRY,Enpatoran high dose; Enpatoran low dose; Enpatoran medium dose; Placebo,drug,Argentina; Australia; Brazil; Bulgaria; Chile; China; Colombia; Greece; Israel; Japan; Mauritius; Mexico; Moldova; Philippines; Poland; Romania; Serbia; South Africa; South Korea; Spain; Taiwan; United States,Africa; East Asia; Europe; Latin America; Middle East; North America; Oceania; Other / Global; Southeast Asia,2025-12-01,True,https://clinicaltrials.gov/study/NCT05162586
NCT05176041,SLE Therapy Changes in Pregnancy and Relation to Pregnancy Outcome,COMPLETED,N/A,University of Jordan,OTHER,Naser Al-Husban,other,,,2022-01-04,False,https://clinicaltrials.gov/study/NCT05176041
